variant_id,question,source_count,n_runs,n_accepted,acceptance_rate,mean_t_per_source_s,median_t_per_source_s,p90_t_per_source_s,paired_n_vs_full,paired_delta_vs_full_s,paired_delta_vs_full_pct
q4_no_count_stop,q4,10,20,20,1.0,590.3498377047417,584.8620622001304,627.2059144812055,20,0.0,0.0
q4_no_crossbar,q4,10,20,20,1.0,666.2849580711368,641.9212334445338,787.1714175437455,20,75.93512036639504,12.862732487846184
q4_no_exact_insertion,q4,10,20,20,1.0,590.3839838569977,580.7363419751223,627.5080197696369,20,0.034146152255971174,0.005784053805914497
q4_no_negative_update,q4,10,20,20,1.0,591.1542145492178,585.0083747896206,626.3579170368969,20,0.8043768444761099,0.1362542670636613
q4_no_rotation,q4,10,20,20,1.0,592.2206129993735,591.2417788137059,623.0286395695407,20,1.8707752946318124,0.31689265841171693
q4_no_trial_clear,q4,10,20,20,1.0,593.607333970353,587.1324478609799,628.6806200600811,20,3.2574962656112803,0.5517908293625191
q4_no_count_stop,q4,16,20,3,0.15,364.99648312262934,365.14431450155996,370.6170864374499,3,54.19686163832188,17.437878907152506
q4_no_crossbar,q4,16,20,20,1.0,408.1398627591013,419.49503438336023,483.3602456621098,20,90.5966173394363,28.53048164186389
q4_no_exact_insertion,q4,16,20,20,1.0,320.1641728829266,327.41347409441,351.20171170948095,20,2.620927463261637,0.8253765435312034
q4_no_negative_update,q4,16,20,20,1.0,318.4741540020361,325.9539201373318,353.5451258031385,20,0.930908582371103,0.29315962338950546
q4_no_rotation,q4,16,20,20,1.0,315.5968762947276,320.9809073503875,361.7184669728315,20,-1.9463691249373483,-0.6129461586767585
q4_no_trial_clear,q4,16,20,20,1.0,320.47589517847433,327.10445455134925,349.39676070682117,20,2.9326497588093616,0.9235434231748729
