virtual_time,x,y,action,channel,result
0.0,0.0,0.0,enter,,
5.0,0.0,0.0,measure,1,direction
11.0,0.0,0.0,measure,2,no_signal
17.0,0.0,0.0,measure,3,no_signal
23.0,0.0,0.0,measure,4,no_signal
29.0,0.0,0.0,measure,5,no_signal
35.0,0.0,0.0,measure,6,direction
41.0,0.0,0.0,measure,7,direction
47.0,0.0,0.0,measure,8,direction
53.0,0.0,0.0,measure,9,no_signal
59.0,0.0,0.0,measure,10,no_signal
65.0,0.0,0.0,measure,11,direction
71.0,0.0,0.0,measure,12,direction
77.0,0.0,0.0,measure,13,no_signal
83.0,0.0,0.0,measure,14,no_signal
89.0,0.0,0.0,measure,15,no_signal
95.0,0.0,0.0,measure,16,no_signal
101.0,0.0,0.0,measure,17,direction
107.0,0.0,0.0,measure,18,no_signal
113.0,0.0,0.0,measure,19,no_signal
119.0,0.0,0.0,measure,20,no_signal
125.0,0.0,0.0,measure,1,direction
131.0,0.0,0.0,measure,6,direction
137.0,0.0,0.0,measure,7,direction
143.0,0.0,0.0,measure,8,direction
149.0,0.0,0.0,measure,11,direction
155.0,0.0,0.0,measure,12,direction
161.0,0.0,0.0,measure,17,direction
357.0,917.6295349746149,245.8780928473947,measure,2,no_signal
363.0,917.6295349746149,245.8780928473947,measure,3,direction
369.0,917.6295349746149,245.8780928473947,measure,4,direction
375.0,917.6295349746149,245.8780928473947,measure,5,no_signal
381.0,917.6295349746149,245.8780928473947,measure,9,no_signal
387.0,917.6295349746149,245.8780928473947,measure,10,no_signal
393.0,917.6295349746149,245.8780928473947,measure,13,no_signal
399.0,917.6295349746149,245.8780928473947,measure,14,no_signal
405.0,917.6295349746149,245.8780928473947,measure,15,no_signal
411.0,917.6295349746149,245.8780928473947,measure,16,no_signal
417.0,917.6295349746149,245.8780928473947,measure,18,no_signal
423.0,917.6295349746149,245.8780928473947,measure,19,no_signal
429.0,917.6295349746149,245.8780928473947,measure,20,no_signal
435.0,917.6295349746149,245.8780928473947,measure,1,no_signal
441.0,917.6295349746149,245.8780928473947,measure,3,direction
447.0,917.6295349746149,245.8780928473947,measure,4,direction
453.0,917.6295349746149,245.8780928473947,measure,6,direction
459.0,917.6295349746149,245.8780928473947,measure,7,direction
