step,virtual_time,channel,n_no_signal,n_certified_cells,n_certified_cells_raw
1,119.0,1,1,0,0
1,119.0,2,1,0,0
1,119.0,3,1,0,0
1,119.0,5,1,0,0
1,119.0,6,1,0,0
1,119.0,7,1,0,0
1,119.0,8,1,0,0
1,119.0,10,1,0,0
1,119.0,11,1,0,0
1,119.0,13,1,0,0
1,119.0,14,1,0,0
1,119.0,15,1,0,0
1,119.0,16,1,0,0
1,119.0,17,1,0,0
1,119.0,18,1,0,0
1,119.0,20,1,0,0
2,454.0,1,2,0,0
2,454.0,2,2,0,0
2,454.0,3,2,0,0
2,454.0,5,2,0,0
2,454.0,6,2,0,0
2,454.0,7,2,0,0
2,454.0,8,2,0,0
2,454.0,10,2,0,0
2,454.0,11,2,0,0
2,454.0,13,2,0,0
2,454.0,14,2,0,0
2,454.0,15,2,0,0
2,454.0,16,2,0,0
2,454.0,17,2,0,0
2,454.0,18,1,0,0
2,454.0,20,2,0,0
3,784.0,1,2,0,0
3,784.0,2,3,0,0
3,784.0,3,3,0,0
3,784.0,5,3,0,0
3,784.0,6,3,0,0
3,784.0,7,2,0,0
3,784.0,8,3,0,0
3,784.0,10,3,0,0
3,784.0,11,3,0,0
3,784.0,13,3,0,0
3,784.0,14,3,0,0
3,784.0,15,3,0,0
3,784.0,16,3,0,0
3,784.0,17,3,0,0
3,784.0,18,1,0,0
3,784.0,20,3,0,0
4,1101.0,1,2,0,0
4,1101.0,2,4,0,0
4,1101.0,3,4,0,0
4,1101.0,5,4,0,0
4,1101.0,6,4,0,0
4,1101.0,7,2,0,0
4,1101.0,8,4,0,0
4,1101.0,10,4,0,0
4,1101.0,11,3,0,0
4,1101.0,13,4,0,0
4,1101.0,14,4,0,0
4,1101.0,15,3,0,0
4,1101.0,16,4,0,0
4,1101.0,17,4,0,0
4,1101.0,18,1,0,0
4,1101.0,20,4,0,0
5,1406.0,1,2,0,0
5,1406.0,2,5,0,0
5,1406.0,3,5,0,0
5,1406.0,5,5,0,0
5,1406.0,6,5,0,0
5,1406.0,7,2,0,0
5,1406.0,8,5,0,0
5,1406.0,10,5,0,0
5,1406.0,11,3,0,0
5,1406.0,13,5,0,0
5,1406.0,14,5,0,0
5,1406.0,15,3,0,0
5,1406.0,16,5,0,0
5,1406.0,17,5,0,0
5,1406.0,18,1,0,0
5,1406.0,20,5,0,0
6,1711.0,1,2,0,0
6,1711.0,2,6,0,0
6,1711.0,3,6,0,0
6,1711.0,5,6,0,0
6,1711.0,6,6,0,0
6,1711.0,7,2,0,0
6,1711.0,8,6,0,0
6,1711.0,10,5,0,0
6,1711.0,11,3,0,0
6,1711.0,13,6,0,0
6,1711.0,14,6,0,0
6,1711.0,15,3,0,0
6,1711.0,16,6,0,0
6,1711.0,17,6,0,0
6,1711.0,18,1,0,0
6,1711.0,20,6,0,0
7,2010.0000000000002,1,2,0,0
7,2010.0000000000002,2,7,0,0
7,2010.0000000000002,3,7,0,0
7,2010.0000000000002,5,7,0,0
7,2010.0000000000002,6,7,0,0
7,2010.0000000000002,7,2,0,0
7,2010.0000000000002,8,7,0,0
7,2010.0000000000002,10,5,0,0
7,2010.0000000000002,11,3,0,0
7,2010.0000000000002,13,7,0,0
7,2010.0000000000002,14,7,0,0
7,2010.0000000000002,15,3,0,0
7,2010.0000000000002,16,7,0,0
7,2010.0000000000002,17,7,0,0
7,2010.0000000000002,18,1,0,0
7,2010.0000000000002,20,7,0,0
8,2034.0000000000002,1,2,0,0
8,2034.0000000000002,2,7,0,0
8,2034.0000000000002,3,7,0,0
8,2034.0000000000002,4,1,0,0
8,2034.0000000000002,5,7,0,0
8,2034.0000000000002,6,7,0,0
8,2034.0000000000002,7,2,0,0
8,2034.0000000000002,8,7,0,0
8,2034.0000000000002,9,1,0,0
8,2034.0000000000002,10,6,0,0
8,2034.0000000000002,11,3,0,0
8,2034.0000000000002,12,1,0,0
8,2034.0000000000002,13,7,0,0
8,2034.0000000000002,14,7,0,0
8,2034.0000000000002,15,3,0,0
8,2034.0000000000002,16,7,0,0
8,2034.0000000000002,17,7,0,0
8,2034.0000000000002,18,1,0,0
8,2034.0000000000002,20,7,0,0
9,2040.0000000000002,1,2,0,0
9,2040.0000000000002,2,7,0,0
9,2040.0000000000002,3,7,0,0
9,2040.0000000000002,4,1,0,0
9,2040.0000000000002,5,7,0,0
9,2040.0000000000002,6,7,0,0
9,2040.0000000000002,7,2,0,0
9,2040.0000000000002,8,7,0,0
9,2040.0000000000002,9,1,0,0
9,2040.0000000000002,10,6,0,0
9,2040.0000000000002,11,3,0,0
9,2040.0000000000002,12,1,0,0
9,2040.0000000000002,13,7,0,0
9,2040.0000000000002,14,7,0,0
9,2040.0000000000002,15,3,0,0
9,2040.0000000000002,16,7,0,0
9,2040.0000000000002,17,7,0,0
9,2040.0000000000002,18,1,0,0
9,2040.0000000000002,19,1,0,0
9,2040.0000000000002,20,7,0,0
10,2046.0000000000002,1,3,0,0
10,2046.0000000000002,2,7,0,0
10,2046.0000000000002,3,7,0,0
10,2046.0000000000002,4,1,0,0
10,2046.0000000000002,5,7,0,0
10,2046.0000000000002,6,7,0,0
10,2046.0000000000002,7,2,0,0
10,2046.0000000000002,8,7,0,0
10,2046.0000000000002,9,1,0,0
10,2046.0000000000002,10,6,0,0
10,2046.0000000000002,11,3,0,0
10,2046.0000000000002,12,1,0,0
10,2046.0000000000002,13,7,0,0
10,2046.0000000000002,14,7,0,0
10,2046.0000000000002,15,3,0,0
10,2046.0000000000002,16,7,0,0
10,2046.0000000000002,17,7,0,0
10,2046.0000000000002,18,1,0,0
10,2046.0000000000002,19,1,0,0
10,2046.0000000000002,20,7,0,0
11,2052.0,1,3,0,0
11,2052.0,2,7,0,0
11,2052.0,3,7,0,0
11,2052.0,4,1,0,0
11,2052.0,5,7,0,0
11,2052.0,6,7,0,0
11,2052.0,7,2,0,0
11,2052.0,8,7,0,0
11,2052.0,9,1,0,0
11,2052.0,10,6,0,0
11,2052.0,11,3,0,0
11,2052.0,12,1,0,0
11,2052.0,13,7,0,0
11,2052.0,14,7,0,0
11,2052.0,15,3,0,0
11,2052.0,16,7,0,0
11,2052.0,17,7,0,0
11,2052.0,18,2,0,0
11,2052.0,19,1,0,0
11,2052.0,20,7,0,0
