step,virtual_time,channel,r_mec
1,119.0,4,750.228526971102
1,119.0,9,750.253973841122
1,119.0,12,750.2494807545257
1,119.0,19,750.2363239636707
2,454.0,4,750.228526971102
2,454.0,9,750.253973841122
2,454.0,12,750.2494807545257
2,454.0,18,452.14763941417715
2,454.0,19,750.2363239636707
3,784.0,1,750.2273682528354
3,784.0,4,750.228526971102
3,784.0,7,442.56830754656653
3,784.0,9,750.253973841122
3,784.0,12,750.2494807545257
3,784.0,18,452.14763941417715
3,784.0,19,750.2363239636707
4,1101.0,1,750.2273682528354
4,1101.0,4,750.228526971102
4,1101.0,7,442.56830754656653
4,1101.0,9,750.253973841122
4,1101.0,11,584.7554021186916
4,1101.0,12,750.2494807545257
4,1101.0,15,364.7796706388332
4,1101.0,18,452.14763941417715
4,1101.0,19,750.2363239636707
5,1406.0,1,750.2273682528354
5,1406.0,4,750.228526971102
5,1406.0,7,442.56830754656653
5,1406.0,9,750.253973841122
5,1406.0,11,584.7554021186916
5,1406.0,12,750.2494807545257
5,1406.0,15,364.7796706388332
5,1406.0,18,452.14763941417715
5,1406.0,19,750.2363239636707
6,1711.0,1,750.2273682528354
6,1711.0,4,750.228526971102
6,1711.0,7,442.56830754656653
6,1711.0,9,750.253973841122
6,1711.0,10,310.96999224195105
6,1711.0,11,584.7554021186916
6,1711.0,12,750.2494807545257
6,1711.0,15,364.7796706388332
6,1711.0,18,452.14763941417715
6,1711.0,19,750.2363239636707
7,2010.0000000000002,1,750.2273682528354
7,2010.0000000000002,4,750.228526971102
7,2010.0000000000002,7,442.56830754656653
7,2010.0000000000002,9,750.253973841122
7,2010.0000000000002,10,310.96999224195105
7,2010.0000000000002,11,584.7554021186916
7,2010.0000000000002,12,750.2494807545257
7,2010.0000000000002,15,364.7796706388332
7,2010.0000000000002,18,452.14763941417715
7,2010.0000000000002,19,750.2363239636707
8,2034.0000000000002,1,750.2273682528354
8,2034.0000000000002,4,750.228526971102
8,2034.0000000000002,7,442.56830754656653
8,2034.0000000000002,9,750.253973841122
8,2034.0000000000002,10,310.96999224195105
8,2034.0000000000002,11,584.7554021186916
8,2034.0000000000002,12,750.2494807545257
8,2034.0000000000002,15,364.7796706388332
8,2034.0000000000002,18,452.14763941417715
8,2034.0000000000002,19,750.2363239636707
9,2040.0000000000002,1,750.2273682528354
9,2040.0000000000002,4,750.228526971102
9,2040.0000000000002,7,442.56830754656653
9,2040.0000000000002,9,750.253973841122
9,2040.0000000000002,10,310.96999224195105
9,2040.0000000000002,11,584.7554021186916
9,2040.0000000000002,12,750.2494807545257
9,2040.0000000000002,15,364.7796706388332
9,2040.0000000000002,18,452.14763941417715
9,2040.0000000000002,19,750.2363239636707
10,2046.0000000000002,1,750.2273682528354
10,2046.0000000000002,4,750.228526971102
10,2046.0000000000002,7,442.56830754656653
10,2046.0000000000002,9,750.253973841122
10,2046.0000000000002,10,310.96999224195105
10,2046.0000000000002,11,584.7554021186916
10,2046.0000000000002,12,750.2494807545257
10,2046.0000000000002,15,364.7796706388332
10,2046.0000000000002,18,452.14763941417715
10,2046.0000000000002,19,750.2363239636707
11,2052.0,1,750.2273682528354
11,2052.0,4,750.228526971102
11,2052.0,7,442.56830754656653
11,2052.0,9,750.253973841122
11,2052.0,10,310.96999224195105
11,2052.0,11,584.7554021186916
11,2052.0,12,750.2494807545257
11,2052.0,15,364.7796706388332
11,2052.0,18,452.14763941417715
11,2052.0,19,750.2363239636707
12,2058.0,1,750.2273682528354
12,2058.0,4,750.228526971102
12,2058.0,7,442.56830754656653
12,2058.0,9,750.253973841122
12,2058.0,10,310.96999224195105
12,2058.0,11,584.7554021186916
12,2058.0,12,750.2494807545257
12,2058.0,15,364.7796706388332
12,2058.0,18,452.14763941417715
12,2058.0,19,750.2363239636707
13,2064.0,1,750.2273682528354
13,2064.0,4,750.228526971102
13,2064.0,7,442.56830754656653
13,2064.0,9,750.253973841122
13,2064.0,10,310.96999224195105
13,2064.0,11,584.7554021186916
13,2064.0,12,750.2494807545257
13,2064.0,15,364.7796706388332
13,2064.0,18,452.14763941417715
13,2064.0,19,750.2363239636707
14,2070.0,1,750.2273682528354
14,2070.0,4,750.228526971102
14,2070.0,7,442.56830754656653
14,2070.0,9,750.253973841122
14,2070.0,10,310.96999224195105
14,2070.0,11,584.7554021186916
14,2070.0,12,750.2494807545257
14,2070.0,15,364.7796706388332
14,2070.0,18,452.14763941417715
14,2070.0,19,750.2363239636707
15,2251.1346390377053,1,750.2273682528354
15,2251.1346390377053,4,49.35280688034149
15,2251.1346390377053,7,442.56830754656653
15,2251.1346390377053,9,750.253973841122
15,2251.1346390377053,10,310.96999224195105
15,2251.1346390377053,11,584.7554021186916
15,2251.1346390377053,12,30.013767592102116
15,2251.1346390377053,15,364.7796706388332
15,2251.1346390377053,18,452.14763941417715
15,2251.1346390377053,19,750.2363239636707
16,2486.5500328816966,1,750.2273682528354
16,2486.5500328816966,7,312.70877022622824
16,2486.5500328816966,9,750.253973841122
16,2486.5500328816966,10,310.96999224195105
16,2486.5500328816966,11,584.7554021186916
16,2486.5500328816966,12,24.071663973994596
16,2486.5500328816966,15,364.7796706388332
16,2486.5500328816966,18,31.9488582143319
16,2486.5500328816966,19,30.156282328701238
17,2567.39363812296,1,750.2273682528354
17,2567.39363812296,7,105.9251248199673
17,2567.39363812296,9,750.253973841122
17,2567.39363812296,10,310.96999224195105
17,2567.39363812296,11,584.7554021186916
17,2567.39363812296,15,364.7796706388332
17,2567.39363812296,18,29.109481092630325
17,2567.39363812296,19,25.45276852639148
18,2774.3821185508245,1,750.2273682528354
18,2774.3821185508245,7,105.9251248199673
18,2774.3821185508245,9,750.253973841122
18,2774.3821185508245,10,310.96999224195105
18,2774.3821185508245,11,584.7554021186916
18,2774.3821185508245,15,364.7796706388332
18,2774.3821185508245,19,25.45276852639148
19,3176.704536292673,1,48.73132796859031
19,3176.704536292673,7,19.6491964278562
19,3176.704536292673,9,24.925662133653418
19,3176.704536292673,10,310.96999224195105
19,3176.704536292673,11,82.54587709696746
19,3176.704536292673,15,227.825553778404
19,3176.704536292673,19,12.726384263195179
20,3206.795089997951,1,47.73988175250275
20,3206.795089997951,7,19.6491964278562
20,3206.795089997951,9,23.871518801655807
20,3206.795089997951,10,310.96999224195105
20,3206.795089997951,11,78.1779790742173
20,3206.795089997951,15,217.1816898535801
21,3386.075343616033,1,25.406594010532622
21,3386.075343616033,9,23.871518801655807
21,3386.075343616033,10,310.96999224195105
21,3386.075343616033,11,78.1779790742173
21,3386.075343616033,15,217.1816898535801
22,3606.123546766653,9,11.906040341550433
22,3606.123546766653,10,310.96999224195105
22,3606.123546766653,11,50.40015009510387
22,3606.123546766653,15,83.55358986318801
23,3776.425986181089,10,310.96999224195105
23,3776.425986181089,11,13.753962797656987
23,3776.425986181089,15,20.426759366023983
24,3912.446328179575,10,310.96999224195105
24,3912.446328179575,15,7.546272219717709
25,3991.9904980667325,10,310.96999224195105
26,3997.9904980667325,10,310.96999224195105
27,4256.628004674017,10,310.96999224195105
28,4388.446757977659,10,66.29157829305676
29,4545.166563154706,10,21.62782395459819
30,4551.896789071074,10,17.103118223484525
